c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR5x250-0.75_3.dat, 1.49598, 147100, 8.11414, 137217, 137217, 2.25584, 19867
data\OR5x250-0.75_4.dat, 5.29942, 144068, 8.6012, 139045, 139045, 1.66989, 19151
data\OR5x250-0.75_5.dat, 4.36041, 143797, 8.10721, 138164, 138164, 2.28785, 20039
data\OR5x250-0.75_6.dat, 4.21607, 143719, 9.5325, 135742, 135742, 1.96991, 19605
data\OR5x250-0.75_7.dat, 3.87465, 142849, 8.41347, 136104, 136104, 1.78691, 20074
data\OR5x250-0.75_8.dat, 3.43833, 144632, 9.238, 135945, 135945, 2.21732, 19237
data\OR5x250-0.75_9.dat, 5.58568, 146413, 9.17203, 140851, 140851, 1.8355, 19321
data\OR5x500-0.25_1.dat, 13.2378, 104243, 18.0737, 98432.8, 98432.8, 1.25115, 37569
data\OR5x500-0.25_10.dat, 14.8587, 102780, 18.8193, 97998.9, 97998.9, 1.56241, 39151
data\OR5x500-0.25_2.dat, 15.8951, 99142, 18.2835, 96326.6, 96326.6, 1.25778, 38869
data\OR5x500-0.25_3.dat, 11.9697, 106632, 17.0008, 100538, 100538, 1.42659, 40229
data\OR5x500-0.25_4.dat, 14.2702, 103565, 18.3678, 98615, 98615, 1.54891, 37587
data\OR5x500-0.25_5.dat, 10.6974, 109234, 18.588, 99582.4, 99582.4, 1.95557, 38167
data\OR5x500-0.25_6.dat, 16.455, 101945, 19.9039, 97736.5, 97736.5, 1.50999, 37738
data\OR5x500-0.25_7.dat, 14.66, 101663, 18.6459, 96914.7, 96914.7, 1.43238, 37774
data\OR5x500-0.25_8.dat, 14.8704, 102639, 18.8367, 97857, 97857, 1.56587, 38245
data\OR5x500-0.25_9.dat, 8.2822, 111516, 17.3987, 100432, 100432, 2.29105, 39190
data\OR5x500-0.50_1.dat, 5.07627, 207340, 11.2461, 193863, 193863, 1.38025, 40616
